time,Lat.,Long.,Mw,magType
2024-05-01T19:17:24.224Z,40.9159,78.3477,4.3,mb
2024-05-01T10:33:46.836Z,35.1777,69.2816,4.4,mww
2024-05-01T01:37:50.098Z,39.3804,71.8043,4.2,mb
2024-04-29T01:13:35.417Z,37.9965,72.5237,4.1,mb
2024-04-28T11:31:09.039Z,41.3998,78.9988,4.3,mb
2024-04-28T06:23:54.895Z,38.2298,72.1636,4.1,mb
2024-04-25T09:24:44.454Z,41.2772,78.4461,4.4,mb
2024-04-23T12:26:36.735Z,41.2115,78.5948,4.5,mb
2024-04-23T01:30:35.784Z,36.5721,68.7507,4.2,mb
2024-04-21T13:42:34.356Z,37.5036,72.1504,4,mb
2024-04-21T07:20:10.946Z,39.5929,74.2601,4.3,mb
2024-04-21T03:47:30.089Z,38.7265,74.8905,4,mb
2024-04-20T04:32:52.267Z,36.4883,71.3734,4.1,mb
2024-04-18T15:22:37.399Z,33.1489,76.8257,4.3,mb
2024-04-18T00:23:36.018Z,41.3167,78.821,4.3,mb
2024-04-17T08:14:05.893Z,36.5951,70.9649,4.1,mwr
2024-04-16T04:09:30.326Z,36.5138,71.1382,4,mb
2024-04-14T13:51:00.540Z,41.2956,78.6481,4.5,mb
2024-04-14T05:58:34.888Z,36.507,70.2967,4,mb
2024-04-12T08:13:42.468Z,41.1619,78.6163,4.6,mwr
2024-04-12T05:39:19.568Z,37.5913,72.3029,4,mb
2024-04-12T00:39:58.101Z,36.4599,69.957,4,mb
2024-04-11T19:48:27.237Z,36.5187,70.3547,4.1,mb
2024-04-10T02:54:35.876Z,37.6074,71.9951,4,mb
2024-04-09T08:12:34.131Z,39.2843,71.6704,4.4,mb
2024-04-08T08:41:30.901Z,36.6899,71.2754,4,mb
2024-04-08T04:04:02.273Z,36.0167,70.4922,4.3,mb
2024-04-08T01:46:16.029Z,37.7199,69.2094,4,mb
2024-04-06T20:56:31.468Z,35.4669,70.9075,3.9,mb
2024-04-06T10:42:53.582Z,31.8969,71.3791,4.4,mb
2024-04-06T10:26:05.230Z,39.74,72.1315,4.1,mb
2024-04-06T09:23:21.002Z,33.1643,76.8223,4.4,mb
2024-04-05T22:50:02.911Z,34.1662,69.3957,4.3,mb
2024-04-05T11:50:44.688Z,33.2454,76.9224,4.2,mb
2024-04-04T16:04:32.601Z,33.1698,76.816,5,mwr
